term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
Transcriptional activation of mitochondrial biogenesis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
GLI proteins bind promoters of Hh responsive genes to promote transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
FOXO-mediated transcription of cell death genes,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Nef Mediated CD4 Down-regulation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
B-WICH complex positively regulates rRNA expression,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
O-linked glycosylation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
FRS-mediated FGFR2 signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
TRAF6 mediated NF-kB activation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
PI-3K cascade:FGFR4,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NOTCH1 Intracellular Domain Regulates Transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Defective GALNT12 causes CRCS1,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Activation of anterior HOX genes in hindbrain development during early embryogenesis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Diseases of DNA repair,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Defective C1GALT1C1 causes TNPS,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NOTCH1 in Cancer,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Fibronectin matrix formation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NRAGE signals death through JNK,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Caspase-mediated cleavage of cytoskeletal proteins,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Host Interactions of HIV factors,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Gap junction trafficking and regulation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
AUF1 (hnRNP D0) binds and destabilizes mRNA,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RHO GTPases Activate NADPH Oxidases,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"Base-Excision Repair, AP Site Formation",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by BMP,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of beta-cell development,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RHOH GTPase cycle,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Collagen degradation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Meiotic synapsis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of TNFR1 signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Downstream signaling of activated FGFR4,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of signaling by CBL,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RHOA GTPase cycle,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
SMAC (DIABLO) binds to IAPs ,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
HSF1-dependent transactivation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
DDX58/IFIH1-mediated induction of interferon-alpha/beta,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Cellular response to starvation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signal attenuation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Mitotic Anaphase,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RUNX3 regulates NOTCH signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
ALK mutants bind TKIs,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Cleavage of the damaged purine,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
PTK6 Expression,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Sema4D in semaphorin signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
The role of GTSE1 in G2/M progression after G2 checkpoint,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
