entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
1432,0.2984438923243188,7.991285874696063e-19,0.14023207878890404,5.195557865454615e-05,0.014497514738602231,0.677186745954199,844,827,827,MAPK14,intermediate
143686,0.03606038980098237,0.2953752152682354,-0.08676103486037877,0.012561184935068559,0.05009399672955447,0.15006320012833774,844,827,827,MB21D1,mixed_discordant
1445,0.1741841256764884,3.546533747358107e-07,0.2989791645551845,1.5404738673543534e-18,0.08984867874319324,0.0097335194874103,844,827,827,CSK,intermediate
1499,0.21280616179261602,4.2412577253059834e-10,0.02120442733540551,0.5425676978441967,-0.07067322220407565,0.042167849060349316,844,827,827,CTNNB1,intermediate
1612,0.06345921690932202,0.0653696109350797,-0.008486995151034963,0.807462470898381,-0.01785618222099182,0.6081155241295916,844,827,827,DAPK1,mixed_discordant
1642,0.39008313610736467,4.6161804767045414e-32,0.04580809068771933,0.18816415450093765,0.12021161828069092,0.0005315346403176704,844,827,827,DDB1,post_transcriptional_discordant
1728,0.2425924879309161,9.048221488723936e-13,0.49226095736597597,1.0900853747747881e-51,0.1469451860776435,2.2109253687607913e-05,844,827,827,NQO1,intermediate
1786,0.34680885592637317,2.9184424628137876e-25,0.4351415519130354,1.5736475219304404e-39,0.2412919956108768,2.0264187327078473e-12,844,827,827,DNMT1,concordant
1803,-0.015954798362701427,0.6434674624573078,0.1805173222349825,1.2918860962975205e-07,-0.04205156655294297,0.2223140930853287,844,844,844,DPP4,intermediate
182,0.05518468302052838,0.10914399685519327,0.15630890361646166,6.300148546161881e-06,-0.06711379372133139,0.053695058321369254,844,827,827,JAG1,intermediate
1846,0.21476051086510087,2.9081002394592014e-10,0.579131014939132,9.446386309795888e-77,0.12164063599864257,0.0003974262752244101,844,844,844,DUSP4,intermediate
1848,-0.050295985763306315,0.1443062046976451,0.5044306310772677,1.367292223236261e-54,0.02968268672527551,0.39393675265090383,844,827,827,DUSP6,transcriptional_discordant
1856,0.4109086634519149,1.020561711044397e-35,-0.056719230654231685,0.09962538739719026,0.0013726065197950318,0.9682386702330199,844,844,844,DVL3,post_transcriptional_discordant
1938,0.2760456015605649,3.1639747527823803e-16,-0.012909264911080014,0.7080356367170304,0.0914666455780252,0.007839699420512375,844,844,844,EEF2,intermediate
1956,0.3524168218579167,4.380465409152638e-26,0.6060245323398357,9.331965528850486e-86,0.6154803360986496,3.9338520649030236e-89,844,844,844,EGFR,concordant
1969,0.08537278790260484,0.013098575467183208,0.2620508960690933,1.87692310406312e-14,-0.022746363952751356,0.5136105086158427,844,827,827,EPHA2,intermediate
197259,0.14498193874361193,2.3568920805965333e-05,0.4101019810467906,6.909670926425841e-35,0.10686998138279846,0.0020874905584659605,844,827,827,MLKL,transcriptional_discordant
1977,0.37200324445018407,4.2858811964786747e-29,0.17352120568942317,3.933757298992859e-07,0.14576073019549174,2.1277891065368027e-05,844,844,844,EIF4E,intermediate
1981,0.32395548709683536,4.494477859590387e-22,0.25337753266475166,7.874285344650023e-14,0.22894600450291314,1.684914450458399e-11,844,844,844,EIF4G1,intermediate
2002,0.24071096360592376,1.3689687207907911e-12,-0.06768711970962615,0.05167788433662567,-0.00572366594297178,0.8694545806147693,844,827,827,ELK1,intermediate
