gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
55660,8354,PRPF40A (human),HIST1H3H (human),-0.03703837573686468,,,,878,0,genetically interacts with
8337,8358,HIST2H2AA4 (human),HIST1H3E (human),,,,,0,0,genetically interacts with
3021,3020,H3F3A (human),H3F3B (human),0.17148940712112826,,0.047107117842934185,,878,0,genetically interacts with
253175,9085,CDY1 (human),CDY1B (human),,,,,878,0,genetically interacts with
8352,8357,HIST1H3A (human),HIST1H3E (human),0.3133283160331983,,,,878,0,genetically interacts with
105180391,442572,SPDYE15,SPDYE21,,,,,0,0,genetically interacts with
728524,100996746,SPDYE8,SPDYE11,,,,,0,0,genetically interacts with
333932,3012,HIST2H3C (human),HIST1H2AB (human),0.20140494045658464,,,,878,0,genetically interacts with
8358,554313,HIST1H3E (human),HIST1H4J (human),0.2323496874855506,,,,878,0,genetically interacts with
8332,8337,HIST1H2AI (human),HIST2H2AA4 (human),,,,,0,0,genetically interacts with
55660,84220,PRPF40A (human),RGPD6 (human),,,,,0,0,genetically interacts with
8329,723790,HIST1H2AI (human),HIST2H2AA3 (human),,,,,0,0,genetically interacts with
102723532,391191,OR4N4 (human),OR2AK2 (human),,,,,0,0,genetically interacts with
80319,3020,CXXC4 (human),H3F3B (human),0.23153428092158132,,0.08252192667954436,,878,0,genetically interacts with
391747,554313,TAF11L6,HIST1H4J (human),,,,,878,0,genetically interacts with
8360,8354,HIST2H4B (human),HIST1H3H (human),0.4120568803853287,,,,878,0,genetically interacts with
3021,8343,H3F3A (human),HIST1H2BG (human),0.1602168923174947,,,,878,0,genetically interacts with
645974,100526737,PABPC1L2A (human),RBM14 (human),-0.0232340214484281,,,,878,0,genetically interacts with
8360,8357,HIST2H4B (human),HIST1H3E (human),0.6515159708443076,,,,878,0,genetically interacts with
646066,8363,TAF11L5,HIST1H4B (human),,,,,0,0,genetically interacts with
79008,9084,SLX1A (human),VCY (human),,,,,0,0,genetically interacts with
8336,8294,HIST1H2AG (human),HIST1H4D (human),0.6411356721569218,,,,878,0,genetically interacts with
114483833,8969,H2BE1 (human),HIST1H2AG (human),-0.12383770403254196,,,,878,0,genetically interacts with
8332,440686,HIST1H2AI (human),H3-2 (human),0.017279729846651416,,,,878,0,genetically interacts with
55660,121504,PRPF40A (human),HIST1H4E (human),0.2866490608307211,,,,878,0,genetically interacts with
100533952,100419780,RBAK-RBAKDN,ZNF722,,,,,878,0,genetically interacts with
3020,3012,H3F3B (human),HIST1H2AB (human),-0.02267005328262063,,,0.008764240824727713,878,0,genetically interacts with
642659,645974,HNRNPA1L3,PABPC1L2A (human),0.040455552709565724,,,,878,0,genetically interacts with
3021,8335,H3F3A (human),HIST1H2AB (human),-0.03486368636452314,,,,878,0,genetically interacts with
390313,8594,OR5BS1P,OR5D3P,0.4742622929465218,,,,878,0,genetically interacts with
8360,100526739,HIST2H4B (human),CENPS (human),0.06817796536509421,,,,878,0,genetically interacts with
6757,148206,SSX2B (human),ZNF714 (human),-0.016078353693689623,,,,878,0,genetically interacts with
100528062,140699,GPRASP2 (human),MROH8 (human),0.3309240673187127,,,,878,0,genetically interacts with
102724101,202,TP53TG3 (human),CRYBG1 (human),,,,,878,0,genetically interacts with
8362,8365,HIST2H4A (human),HIST1H4L (human),0.6376074378007454,,,,878,0,genetically interacts with
8330,8353,HIST1H2AG (human),HIST1H3J (human),,,,,878,0,genetically interacts with
646066,115482686,TAF11L5,H2AL3,,,,,0,0,genetically interacts with
641776,728524,SPDYE14,SPDYE8,,,,,0,0,genetically interacts with
121504,8364,HIST1H4E (human),HIST1H4E (human),0.24871836270326075,,,,878,0,genetically interacts with
552891,1485,DNAJC25 (human),CTAG1A (human),-0.019352887535720818,,,,878,0,genetically interacts with
333932,8356,HIST2H3C (human),HIST1H3D (human),0.4015551797096685,,,,878,0,genetically interacts with
115482686,8332,H2AL3,HIST1H2AI (human),0.03322201735696051,,,,878,0,genetically interacts with
8330,8363,HIST1H2AG (human),HIST1H4B (human),,,,,878,0,genetically interacts with
102723526,8362,LINC02218,HIST2H4A (human),-0.004934796794903556,,,,878,0,genetically interacts with
8366,8360,HIST1H4D (human),HIST2H4B (human),0.5631317263113081,,,,878,0,genetically interacts with
400499,283463,LOC400499,MUC19 (human),,,,,0,0,genetically interacts with
100507170,728036,CT47A9 (human),CT47A10 (human),,,,,0,0,genetically interacts with
136157,441584,SSU72P8,SSU72P4,0.1678985679452123,,,,878,0,genetically interacts with
641776,105180391,SPDYE14,SPDYE15,,,,,0,0,genetically interacts with
8329,653604,HIST1H2AI (human),HIST2H3D (human),0.49216030127015037,,,,878,0,genetically interacts with
276,277,AMY1B (human),AMY1B (human),,,,,0,0,genetically interacts with
401661,105369274,OR51C1P,OR4N4C (human),,,,,878,0,genetically interacts with
121504,8337,HIST1H4E (human),HIST2H2AA4 (human),,,,,0,0,genetically interacts with
8337,653604,HIST2H2AA4 (human),HIST2H3D (human),,,,,0,0,genetically interacts with
723790,552900,HIST2H2AA3 (human),BOLA2 (human),,,,,0,0,genetically interacts with
4108,728239,MAGEA9 (human),MAGED4B (human),,,,,0,0,genetically interacts with
102724334,8336,H2BS1 (human),HIST1H2AG (human),0.36782217344054224,,,,878,0,genetically interacts with
653604,8339,HIST2H3D (human),HIST1H2BF (human),0.40264832057078054,,,,878,0,genetically interacts with
8968,8358,HIST1H3C (human),HIST1H3E (human),0.7399031931752474,,,,878,0,genetically interacts with
8330,8347,HIST1H2AG (human),HIST1H2BI (human),,,,,878,0,genetically interacts with
8354,8330,HIST1H3H (human),HIST1H2AG (human),,,,,878,0,genetically interacts with
102723849,643909,SPDYE17,SPDYE9,,,,,0,0,genetically interacts with
100533952,170958,RBAK-RBAKDN,ZNF525 (human),,,,,878,0,genetically interacts with
26683,8594,OR4F29 (human),OR5D3P,0.00972271641037618,,,,878,0,genetically interacts with
3198,112268164,HOXA1,CPHXL2,-0.07521669265926773,,,,878,0,genetically interacts with
148345,3439,C1orf127 (human),IFNA13 (human),-0.054450414850330954,,,,878,0,genetically interacts with
390073,391191,OR56B2P,OR2AK2 (human),0.0369744244870668,,,,878,0,genetically interacts with
8351,8344,HIST1H3F (human),HIST1H2BC (human),0.26140408515306107,,,,878,0,genetically interacts with
8355,8344,HIST1H3J (human),HIST1H2BC (human),0.3334785452326523,,,,878,0,genetically interacts with
100533952,642819,RBAK-RBAKDN,ZNF487 (human),,,,,878,0,genetically interacts with
126961,8335,HIST2H3D (human),HIST1H2AB (human),0.32639774176969616,,,,878,0,genetically interacts with
